,item_category_id,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24,month_25,month_26,month_27,month_28,month_29,month_30,month_31,month_32,month_33
12,18,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13,19,8983.0,10095.0,12327.0,7656.0,7280.0,12206.0,7497.0,10488.0,18932.0,14113.0,9030.0,15818.0,9282.0,8687.0,7665.0,4369.0,6260.0,5752.0,5491.0,7439.0,5736.0,5173.0,6134.0,10210.0,6413.0,4189.0,3737.0,2779.0,3392.0,3487.0,3178.0,4667.0,3979.0,2443.0
14,21,3492.0,2838.0,2820.0,1908.0,2152.0,2179.0,1898.0,1682.0,1031.0,1005.0,1015.0,1674.0,882.0,629.0,664.0,483.0,679.0,847.0,618.0,564.0,322.0,388.0,404.0,701.0,394.0,325.0,281.0,170.0,203.0,208.0,217.0,201.0,94.0,98.0
15,22,1286.0,788.0,762.0,560.0,857.0,1147.0,983.0,840.0,1044.0,821.0,823.0,1783.0,878.0,577.0,655.0,545.0,748.0,888.0,851.0,763.0,450.0,452.0,451.0,1376.0,883.0,603.0,527.0,354.0,427.0,536.0,428.0,414.0,321.0,302.0
16,23,4150.0,5275.0,5584.0,3581.0,4005.0,4437.0,3797.0,5544.0,9698.0,7872.0,5978.0,10076.0,6545.0,7167.0,5679.0,4249.0,4773.0,4655.0,4460.0,5562.0,4482.0,4001.0,5275.0,10032.0,5620.0,4090.0,3321.0,2285.0,2565.0,2984.0,2759.0,3650.0,3590.0,2203.0
17,25,641.0,475.0,554.0,538.0,627.0,602.0,551.0,718.0,618.0,480.0,470.0,1234.0,1148.0,749.0,730.0,849.0,635.0,460.0,377.0,435.0,335.0,294.0,380.0,1077.0,885.0,776.0,575.0,518.0,394.0,291.0,256.0,339.0,258.0,269.0
18,28,5435.0,6676.0,10003.0,5183.0,3750.0,4022.0,4616.0,6705.0,6275.0,7456.0,9529.0,7523.0,4901.0,5310.0,4355.0,6433.0,6900.0,6664.0,3716.0,5486.0,6563.0,3309.0,9130.0,7457.0,4348.0,2953.0,3244.0,2255.0,4973.0,1919.0,1609.0,1722.0,1677.0,2857.0
19,29,308.0,600.0,982.0,230.0,738.0,769.0,368.0,785.0,1648.0,328.0,3245.0,716.0,237.0,166.0,461.0,975.0,1828.0,525.0,204.0,264.0,1533.0,611.0,1569.0,945.0,234.0,119.0,202.0,291.0,835.0,152.0,108.0,36.0,319.0,165.0
20,30,22216.0,20966.0,27045.0,16548.0,17223.0,19146.0,17285.0,19340.0,20513.0,18049.0,16794.0,20088.0,14883.0,13204.0,14632.0,10755.0,11604.0,11645.0,10456.0,12142.0,10130.0,14655.0,10125.0,12226.0,9912.0,8288.0,7445.0,14751.0,6817.0,6202.0,5780.0,6222.0,5303.0,4150.0
21,33,291.0,405.0,343.0,295.0,238.0,411.0,337.0,334.0,299.0,367.0,313.0,412.0,323.0,323.0,400.0,411.0,394.0,419.0,274.0,216.0,99.0,70.0,29.0,90.0,34.0,153.0,176.0,150.0,168.0,161.0,166.0,167.0,154.0,172.0
22,35,422.0,386.0,592.0,505.0,528.0,514.0,458.0,556.0,629.0,435.0,729.0,1431.0,1019.0,1295.0,1301.0,751.0,902.0,912.0,743.0,982.0,1105.0,1204.0,1575.0,2324.0,2279.0,1383.0,1435.0,824.0,737.0,651.0,568.0,712.0,672.0,685.0
23,37,6094.0,6307.0,6088.0,6181.0,5802.0,6763.0,8623.0,8680.0,7659.0,6950.0,7420.0,9959.0,7511.0,6019.0,6322.0,7704.0,7177.0,6189.0,5647.0,5992.0,4971.0,5074.0,5185.0,7582.0,5959.0,4847.0,5098.0,4670.0,3288.0,3756.0,3291.0,3426.0,2989.0,4061.0
24,38,1630.0,1375.0,1490.0,1612.0,954.0,1195.0,1236.0,1384.0,1129.0,1241.0,1449.0,2052.0,1410.0,1238.0,1531.0,1755.0,1145.0,1011.0,1106.0,1342.0,1328.0,1578.0,1589.0,2629.0,1545.0,1232.0,1622.0,1148.0,926.0,640.0,702.0,723.0,1102.0,983.0
25,40,33489.0,31649.0,36277.0,27525.0,25470.0,25992.0,24806.0,24130.0,23348.0,24173.0,25433.0,28598.0,22065.0,18467.0,21266.0,18320.0,15005.0,16064.0,14452.0,15821.0,12748.0,13639.0,14815.0,18876.0,15109.0,12100.0,13084.0,10683.0,9208.0,9304.0,9283.0,8513.0,6779.0,7680.0
26,41,1789.0,1670.0,1667.0,1390.0,1282.0,1430.0,1045.0,1169.0,996.0,1109.0,1191.0,1864.0,1257.0,1098.0,779.0,948.0,765.0,725.0,1105.0,953.0,750.0,1178.0,935.0,1094.0,758.0,733.0,898.0,658.0,518.0,454.0,500.0,435.0,358.0,309.0
27,43,1352.0,1508.0,1561.0,1206.0,1105.0,1192.0,1270.0,1116.0,886.0,986.0,969.0,1264.0,853.0,860.0,831.0,725.0,731.0,809.0,803.0,690.0,552.0,615.0,614.0,740.0,500.0,511.0,449.0,400.0,304.0,294.0,287.0,189.0,188.0,235.0
28,45,333.0,338.0,323.0,251.0,178.0,199.0,226.0,208.0,147.0,211.0,185.0,232.0,151.0,178.0,148.0,144.0,129.0,129.0,128.0,96.0,121.0,97.0,136.0,112.0,112.0,120.0,113.0,84.0,60.0,55.0,78.0,69.0,69.0,76.0
29,46,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,49,939.0,1097.0,1039.0,956.0,672.0,687.0,753.0,685.0,800.0,917.0,793.0,850.0,744.0,861.0,958.0,914.0,617.0,746.0,793.0,742.0,782.0,903.0,760.0,786.0,659.0,724.0,818.0,801.0,536.0,699.0,669.0,571.0,580.0,639.0
31,55,12527.0,11782.0,13705.0,11739.0,12208.0,13616.0,14168.0,14131.0,11480.0,11852.0,11541.0,16186.0,10216.0,9442.0,11533.0,9336.0,9714.0,10769.0,11371.0,11180.0,8364.0,9179.0,9809.0,13786.0,9291.0,8036.0,8881.0,7162.0,6353.0,6017.0,6474.0,6022.0,4913.0,5808.0
32,56,268.0,296.0,296.0,334.0,255.0,327.0,320.0,260.0,232.0,212.0,246.0,317.0,189.0,170.0,189.0,125.0,153.0,187.0,176.0,133.0,139.0,131.0,484.0,860.0,253.0,227.0,205.0,147.0,85.0,309.0,162.0,103.0,312.0,179.0
33,57,1539.0,1540.0,1564.0,1446.0,1393.0,1400.0,1445.0,1316.0,1124.0,1080.0,1054.0,1425.0,984.0,960.0,1071.0,937.0,978.0,1025.0,1013.0,971.0,702.0,767.0,697.0,1003.0,680.0,628.0,608.0,512.0,428.0,443.0,577.0,531.0,478.0,364.0
34,58,287.0,333.0,377.0,308.0,345.0,269.0,356.0,284.0,320.0,374.0,444.0,707.0,451.0,382.0,326.0,379.0,303.0,365.0,362.0,375.0,437.0,402.0,583.0,805.0,533.0,473.0,506.0,389.0,299.0,364.0,378.0,284.0,380.0,451.0
35,59,701.0,745.0,850.0,760.0,622.0,548.0,510.0,399.0,296.0,251.0,248.0,284.0,141.0,74.0,47.0,43.0,47.0,21.0,17.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,60,85.0,90.0,67.0,58.0,63.0,57.0,64.0,46.0,42.0,50.0,51.0,78.0,62.0,58.0,31.0,29.0,44.0,31.0,43.0,40.0,47.0,43.0,29.0,58.0,26.0,31.0,37.0,34.0,14.0,15.0,21.0,20.0,21.0,12.0
37,61,108.0,144.0,111.0,55.0,46.0,14.0,17.0,19.0,16.0,605.0,82.0,135.0,169.0,121.0,119.0,94.0,106.0,208.0,352.0,317.0,273.0,1784.0,774.0,1670.0,744.0,703.0,780.0,446.0,447.0,605.0,516.0,786.0,554.0,2290.0
38,62,1724.0,1710.0,1990.0,1262.0,1133.0,1202.0,1091.0,1145.0,1071.0,1172.0,1209.0,3284.0,1291.0,1324.0,1061.0,677.0,615.0,641.0,616.0,562.0,457.0,469.0,449.0,1121.0,379.0,361.0,242.0,139.0,102.0,97.0,113.0,82.0,79.0,73.0
39,63,1367.0,981.0,1209.0,882.0,797.0,3236.0,1857.0,1688.0,847.0,1297.0,1264.0,3683.0,1295.0,1281.0,1546.0,1186.0,1193.0,1267.0,1586.0,1769.0,1446.0,3300.0,2006.0,5064.0,2330.0,2130.0,2076.0,1316.0,1370.0,1425.0,2555.0,1788.0,1670.0,2149.0
40,64,877.0,790.0,817.0,668.0,722.0,739.0,864.0,942.0,743.0,977.0,1095.0,2551.0,1486.0,1162.0,1182.0,1003.0,1010.0,1042.0,1143.0,1290.0,920.0,1151.0,1268.0,3163.0,2211.0,1655.0,1328.0,894.0,906.0,897.0,1076.0,1114.0,801.0,870.0
41,65,1955.0,1935.0,1864.0,1675.0,1689.0,1820.0,2204.0,2446.0,1980.0,2285.0,2008.0,3441.0,2327.0,2157.0,2454.0,1906.0,1941.0,2017.0,1927.0,2138.0,1297.0,2608.0,2331.0,4659.0,2941.0,2428.0,2316.0,1540.0,1635.0,1941.0,1817.0,2068.0,1809.0,1518.0
42,66,759.0,680.0,711.0,482.0,429.0,383.0,425.0,369.0,255.0,325.0,245.0,325.0,249.0,124.0,59.0,51.0,12.0,15.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,67,2205.0,2720.0,2199.0,1615.0,1327.0,1294.0,1315.0,1248.0,1161.0,1213.0,1373.0,3670.0,1390.0,1882.0,1798.0,1223.0,1204.0,1071.0,1059.0,1189.0,1022.0,1224.0,1328.0,2778.0,1024.0,1003.0,674.0,458.0,512.0,417.0,474.0,409.0,398.0,426.0
44,68,4.0,8.0,21.0,8.0,8.0,7.0,15.0,9.0,9.0,11.0,13.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69,480.0,503.0,694.0,545.0,491.0,515.0,631.0,665.0,873.0,1352.0,920.0,3025.0,1036.0,887.0,750.0,524.0,662.0,654.0,616.0,603.0,591.0,1423.0,845.0,3253.0,1123.0,1681.0,981.0,704.0,630.0,660.0,1124.0,901.0,665.0,888.0
46,70,1465.0,1296.0,1315.0,1293.0,1164.0,779.0,679.0,786.0,948.0,984.0,706.0,1672.0,790.0,611.0,615.0,659.0,635.0,1013.0,977.0,731.0,587.0,2124.0,1457.0,3425.0,1909.0,1925.0,1569.0,1966.0,2369.0,2273.0,1890.0,1471.0,1024.0,1960.0
47,71,149.0,11.0,6.0,256.0,3738.0,8426.0,7269.0,7296.0,7945.0,7738.0,8537.0,12557.0,7329.0,6547.0,7717.0,5875.0,5822.0,6712.0,5976.0,6286.0,6571.0,6547.0,7721.0,12185.0,7869.0,3189.0,2020.0,4097.0,3768.0,3473.0,3347.0,3551.0,3390.0,4078.0
48,72,802.0,591.0,608.0,503.0,539.0,450.0,468.0,717.0,611.0,1187.0,1166.0,2620.0,1785.0,1860.0,1866.0,1850.0,2012.0,1789.0,1649.0,2074.0,1838.0,2708.0,2378.0,3971.0,2432.0,1875.0,1714.0,1122.0,1195.0,1323.0,1411.0,1273.0,1258.0,1976.0
49,73,677.0,744.0,764.0,712.0,460.0,462.0,506.0,488.0,536.0,607.0,468.0,419.0,466.0,489.0,507.0,433.0,265.0,305.0,348.0,371.0,338.0,443.0,402.0,379.0,348.0,357.0,333.0,380.0,257.0,266.0,289.0,231.0,260.0,263.0
50,75,2980.0,2670.0,2523.0,1998.0,1568.0,1442.0,1519.0,1639.0,1846.0,1873.0,1912.0,2252.0,2034.0,1687.0,1620.0,1278.0,1046.0,1018.0,1062.0,1009.0,1122.0,1182.0,1183.0,1547.0,1324.0,1063.0,976.0,824.0,713.0,560.0,584.0,618.0,623.0,929.0
51,77,481.0,519.0,431.0,394.0,272.0,256.0,291.0,233.0,131.0,119.0,140.0,120.0,82.0,54.0,56.0,64.0,41.0,18.0,9.0,2.0,8.0,9.0,6.0,13.0,8.0,7.0,31.0,5.0,5.0,10.0,15.0,3.0,3.0,64.0
52,79,145.0,128.0,275.0,94.0,83.0,64.0,64.0,67.0,52.0,57.0,49.0,92.0,61.0,69.0,77.0,142.0,167.0,206.0,323.0,620.0,986.0,1088.0,1651.0,2002.0,1454.0,962.0,1056.0,744.0,558.0,499.0,497.0,486.0,491.0,521.0
53,81,177.0,111.0,106.0,115.0,113.0,75.0,98.0,48.0,32.0,26.0,19.0,9.0,10.0,8.0,7.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,82,1374.0,1192.0,1125.0,1021.0,1139.0,1114.0,889.0,657.0,506.0,336.0,336.0,178.0,96.0,107.0,114.0,95.0,80.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,83,894.0,574.0,675.0,523.0,527.0,761.0,676.0,444.0,278.0,168.0,202.0,270.0,70.0,106.0,63.0,46.0,75.0,105.0,228.0,253.0,247.0,309.0,291.0,736.0,584.0,382.0,523.0,276.0,272.0,258.0,298.0,293.0,277.0,348.0
56,48,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,31,0.0,0.0,0.0,0.0,687.0,523.0,602.0,544.0,489.0,552.0,708.0,796.0,671.0,506.0,588.0,621.0,729.0,850.0,834.0,967.0,1202.0,3035.0,2346.0,2101.0,4824.0,1394.0,1679.0,2506.0,1138.0,892.0,688.0,724.0,856.0,1056.0
59,44,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,2.0,15.0,2.0,2.0,5.0,6.0,16.0,4.0,6.0,5.0,6.0,2.0,7.0,3.0,8.0,4.0,24.0,6.0,5.0,10.0,13.0,11.0,14.0,10.0,18.0,32.0
60,52,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,54,0.0,0.0,0.0,0.0,31.0,21.0,32.0,30.0,51.0,126.0,142.0,298.0,210.0,336.0,288.0,376.0,256.0,240.0,264.0,215.0,289.0,300.0,305.0,232.0,282.0,281.0,325.0,283.0,240.0,292.0,276.0,264.0,271.0,350.0
62,76,0.0,0.0,0.0,0.0,95.0,98.0,100.0,105.0,121.0,112.0,186.0,189.0,184.0,121.0,161.0,164.0,155.0,165.0,218.0,254.0,267.0,293.0,310.0,407.0,313.0,210.0,202.0,197.0,143.0,156.0,185.0,169.0,183.0,184.0
63,78,0.0,0.0,0.0,0.0,37.0,82.0,55.0,36.0,149.0,111.0,190.0,98.0,80.0,98.0,51.0,106.0,77.0,95.0,41.0,68.0,138.0,115.0,148.0,115.0,110.0,96.0,77.0,64.0,54.0,57.0,36.0,30.0,73.0,64.0
64,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,293.0,355.0,341.0,725.0,429.0,530.0,431.0,1627.0,353.0,395.0,357.0,422.0,433.0,376.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,16.0,23.0,14.0,19.0,16.0,212.0,93.0,64.0,32.0,33.0,23.0,29.0,15.0,8.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
66,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.0,2002.0,283.0,1359.0,654.0,370.0,341.0,396.0,394.0,716.0,514.0,446.0,754.0,1422.0,450.0,226.0,191.0,87.0,136.0,185.0,73.0,124.0,174.0,169.0
68,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885.0,4608.0,1880.0,3631.0,5815.0,2093.0,4420.0,3391.0,4158.0,4964.0,7147.0,6063.0,12834.0,10205.0,4969.0,4915.0,5399.0,4768.0,7130.0,4687.0,4034.0,4620.0,7107.0,6596.0
69,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,32.0,36.0,23.0,12.0,17.0,20.0,24.0,26.0,9.0,14.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,335.0,5263.0,1873.0,0.0,0.0,0.0,0.0,0.0,45.0,147.0,117.0,193.0,483.0,5128.0,-1.0
71,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,120.0,453.0,192.0,155.0,1006.0,293.0,42.0,72.0,45.0,56.0,66.0,43.0,71.0,70.0,66.0
72,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,225.0,337.0,476.0,595.0,925.0,870.0,559.0,476.0,313.0,347.0,358.0,256.0,280.0,293.0,265.0
73,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,402.0,304.0,1677.0,639.0,220.0,269.0,244.0,217.0,238.0,178.0,307.0,244.0,205.0
75,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,740.0,1078.0,3307.0,1497.0,1692.0,1356.0,749.0,1173.0,877.0,809.0,1011.0,1068.0,1197.0
76,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,12.0,8.0,2.0,1.0,1.0,1.0,7.0,0.0,4.0,1.0,3.0,3.0
77,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,4.0,3.0,15.0,26.0,6.0,9.0,32.0,9.0
78,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
79,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,116.0,86.0,182.0,630.0,1136.0,1287.0,3421.0
80,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,754.0,564.0,474.0,493.0,710.0,934.0
82,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,147.0,117.0,195.0,483.0,5149.0,0.0
83,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,8.0
