item_name, item_id, item_category_id 
1C: Audiolibros, ¡Feliz nuevo inglés! (Mejores historias divertidas) (Digipack), 136,45 
"""1C: Audiolibros, La edad de oro de la ficción detectivesca, Parte 1 [PC, versión digital]"", 137,44 "
1C: Audiolibros, A, Nekrasov, Las aventuras del capitán Vrungel (Digipack), 138,45 
1C: Audiolibros, SOY, Volkov, Wizard of the Emerald City (Digipack), 139,45 
1C: Audiolibros, Aladdin y otros cuentos orientales (Jewel), 140,45 
"""1C: Audiolibros, Aladdin y otros cuentos orientales [PC, versión digital]"", 141,44 "
1C: Audiolibros, Alexey Tolstoy, Las aventuras de Pinocho (Digipack), 142,45
1C: Audiolibros, La flor escarlata y otros cuentos de hadas (Joya), 143,45 
1C: Audiolibros, La flor escarlata y otros cuentos [versión digital], 144,44 
"""1C: audiolibros, Ali Baba y los cuarenta ladrones [PC, versión digital]"", 145,44 "
"""1C: audiolibros, Verbos irregulares en inglés, Simulador [PC, versión digital]"", 146,44 "
"""1C: Audiolibros, Proverbios, dichos y expresiones comunes en inglés , Guía de autoaprendizaje [PC, versión digital]"", 147,44 "
"""1C: Audiolibros, Cuentos de hadas en inglés, parte 1 [PC, versión digital]"", 148, 44 "
1C : Audiolibros, Inglés para niños, Escuchar y aprender (joya), 149,45 
1C: Audiolibros, Inglés para niños, Escuchar y aprender [versión digital], 150,44 
1C: Audiolibros, Inglés para niños, Ayuda visual (joya), 151,45
1C: Audiolibros, Inglés para viajeros (Jewel), 152,45 
1C: Audiolibros, Inglés en 30 minutos (Digipack), 153,45 
1C: Audiolibros, Inglés al volante, Edición 1 (Principiante) (Digipack), 154,45 
1C: Audiolibros, Inglés al volante, Edición 2 (Primaria) (Digipack), 155,45 
1C: Audiolibros, Inglés al volante, Edición 3 (Pre-Intermedio) (Digipack), 156,45 
"""1C: Audiolibros, Vocabulario en inglés, Simulador [PC, versión digital]"", 157,44 "
"""1C: Audiolibros, Inglés en 12 días: Guía de autoaprendizaje para la comunicación diaria [PC, Digital] "", 158,44 "
""" 1C: Audiolibros, Inglés en 12 días: Autoaprendizaje, Inglés comercial [PC, Digital] "", 159,44"
"""1C: Audiolibros, Inglés en 12 días: Guía de autoaprendizaje, Descanso en el extranjero [PC, versión digital]"", 160,44 "
"""1C: Audiolibros, Idioma inglés, 1700 frases y expresiones comunes, Simulador [PC, versión digital]"", 161,44 "
1C: Audiolibros, Andersen G,H, Thumbelina, 162,45 
"""1C: Audiolibros, Andrey Platonov, Dragon's Jaw, Tales of War12 [PC, versión digital]"", 163,44 "
1C: Audiolibros, Arkady Averchenko, Clásicos del humor ruso, [Versión digital], 164,44 
1C: Audiolibros, Arthur Conan Doyle, Valley of Fear (Jewel), 165,45 
1C: Audiolibros, Arthur Conan Doyle, Las historias de Sherlock Holmes (Joya), 166,45 
"""1C: Audiolibros, Atkinson W, El poder del pensamiento o magnetismo de la personalidad [PC, Digital]"", 167,44"
"""1C: Audiolibros, Cursos de audio sobre geografía, Grado 6 [PC, versión digital]"", 168,44 "
"""1C: Audiolibros, Audiolibros sobre geografía, Grado 7 [PC, Versión digital]"", 169,44 "
1C: Audiolibros, Cursos de audio, Aprender a hablar ruso de manera correcta y competente (Jewel), 170,45 
1C: Audiolibros, Tour de audio, Kremlin de Moscú, 171,45 
1C: Audiolibros, Tour de audio, Perspectiva de Nevsky, 172,45 
1C: Audiolibros, Enciclopedia de audio para los más pequeños, The World Around (Digipack), 173,45 
"""1C: Audiolibros, Historias bíblicas del Nuevo Testamento, La vida de Jesucristo [PC, Digital]"", 174,44 "
1C: Audiolibros, Gran poesía para niños pequeños (colección) (Joya), 175,45 
1C: Audiolibros, Bulgakov M, Corazón de perro, 176,45
1C: Audiolibros, Bulgakov M,A, El Maestro y Margarita, 177,45 
1C: Audiolibros, Bulgakov M,A, Fuego de Khan, 178,45 
1C: Audiolibros, Bunin I, A, Sins of love, 179,45 
"""1C: Audiolibros, Épicas del pueblo ruso, Colección [PC, versión digital]"", 180,44 "
"""1C: Audiolibros, Vagin I, Ira, resentimiento, venganza y traición [PC, versión digital]"" , 181,44 "
"""1C: Audiolibros, Vagin I, Cómo desarrollar la confianza en uno mismo y elevar la autoestima [PC, versión digital]"", 182,44 "
"""1C: Audiolibros, Vagin I,O, Manejo de la unidad [PC, versión digital]"", 183,44 "
"""1C : Audiolibros, Vagin IO Deshacerse del miedo y la ansiedad [PC, versión digital] "", 184,44 "
""" 1C: Audiolibros, Vagin I,O, Cómo comprar, pero no comprar [PC, Digital] "", 185,44"
"""1C: Audiolibros, Vagin IO Cómo dejar de estar nervioso [PC, Versión digital]"", 186,44 "
"""1C: Audiolibros, Vagin IO Cómo poner al interlocutor en su lugar, Métodos de ataque verbal [PC, Versión digital]"", 187,44 "
"""1C: Audiolibros, Vagin IO Cómo crear una imagen exitosa [PC, versión digital]"", 188,44 "
"""1C: Audiolibros, Vagin I,O, Cómo ahorrar dinero [PC, versión digital]"", 189,44 "
"""1C: Audiolibros, Vagin IO Cómo manejar a otros [PC, versión digital] "", 190,44 "
""" 1C: Audiolibros, Vagin I,O, Karate psicológico y aikido psicológico [PC, versión digital] "", 191,44 "
""" 1C: Audiolibros, Vagin IO Psicotecnia para desarrollar la confianza en uno mismo, la suerte, la exclusividad [PC, versión digital] "", 192,44"
"""1C: Audiolibros, Vagin I,O, Gestión de recursos humanos [PC, versión digital]"", 193,44 "
"""1C: Audiolibros, Vagin I,O,, Glushchay A, Enséñate a reír [PC, versión digital]"", 194, 44 "
"""1C: Audiolibros, Vagin IO, Joy management [PC, versión digital] "", 195,44 "
""" 1C: Audiolibros, Vasil Bykov, Ir y no regresar [PC, versión digital] "", 196,44 "
1C: Audiolibros ,,, Grandes empresarios o cómo se ganaba dinero en el siglo XX (Digipack), 197,45 
1C: Audiolibros, Verne J, 20,000 leguas de viaje submarino, 198,45 
1C: Audiolibros, Verne J, Hijos del Capitán Grant, 199,45 
1C: Audiolibros, Lecciones divertidas para los más pequeños, ABC y cuenta (Joya), 200,45 
"""1C: Audiolibros, Vladimirskie A,O, y P,A, Cómo tener éxito, o el secreto de un arribista [PC,"
1C: Audiolibros, Lectura extracurricular (para bachillerato) (Jewel), 202,45 
"""1C: Audiolibros, Historia general, procesada por"" Satyricon """" [PC, versión digital] "", 203,44 "
""" 1C: Audiolibros, GR Haggard, Cleopatra [PC, versión digital] "", 204,44 "
1C: Audiolibros, G,Kh, Andersen, La Sirenita, Actuación musical (Digipack), 205,45 
"""1C: Audiolibros, Harry Garrison, Rata de acero inoxidable [PC, versión digital]"", 206,44 "
1C: Audiolibros, Garros-Evdokimov, Goo gris, 207,45 
"""1C: Audiolibros, Henry Haggard, Hija de Montezuma [PC, Digital]"", 208,44 "
1C: Audiolibros, Geografía de Rusia para niños, Cursos de audio educativos [versión digital], 209,44 
"""1C: Audiolibros, Gilbert E, Come, reza, ama (Jewel)"", 210,"
"""1C: Audiolibros, Gilyarovsky VA"" ""Moscú y moscovitas"" ""(segunda parte) [Versión digital]"", 211,44 "
"""1C: Audiolibros, Gilyarovsky VA"" ""Moscú y moscovitas"" ""(primera parte) [Versión digital]"", 212,44 "
1C: Audiolibros, Gilyarovsky V,A, Moscú y moscovitas, 213,45 
"""1C: Audiolibros, Gogol NV"" Viy """" [Versión digital] "", 214,44 "
1C: Audiolibros, Gogol N,V, Viy (Digipack), 215,45 
"""1C: Audiolibros, Gogol N,V, Marriage [PC, versión digital]"", 216,44 "
1C: Audiolibros, Gogol N,V, Notas de un loco [Versión digital], 217,44 
1C: Audiolibros, Goncharov I,A, Una historia ordinaria, 218,45 
1C: Audiolibros, Gorky M, En la parte inferior, 219,45 
1C: Audiolibros, Pulsera de granate [Digital], 220,
1C: Audiolibros, A,S, Verde Velas escarlatas [versión digital], 221,44 
1C: Audiolibros, A,S, Verde Wave Runner [Digital], 222,44 
1C: Audiolibros, A,S, Verde Las mejores historias [Versión digital], 223,44 
1C: Audiolibros, Hugo V,Los Miserables (Joya), 224,45 
1C: Audiolibros, Daniel Defoe, Robinson Crusoe, (Joya), 225,45 
1C: Audiolibros, Detectives en la carretera, En las mejores tradiciones de Agatha Christie y Arthur Conan Doyle (Jewel), 226,45 
1C: Audiolibros, Detectives en la carretera, Versión rusa, En las mejores tradiciones de Agatha Christie y Arthur Conan Do, 227,44 
"""1C: Audiolibros, Niños de 0 a 3 años, Cuentos de hadas, rimas infantiles, canciones de cuna (Joya)"", 228,45 "
"""1C: Audiolibros, Niños de 0 a 5 años, Carroll L, Alice para bebés [PC, digital] "", 229,44"
1C: Audiolibros, Defoe D, Robinson Crusoe, 230,45 
"""1C: Audiolibros, Defoe D, Robinson Crusoe [PC, versión digital]"", 231,44 "
1C: Audiolibros, Jack London, Corazones de tres (Joya), 232,45 
"""1C: Audiolibros, Jerome K, Jerome, Tres en un bote, sin contar el perro (Joya)"", 233,45 "
1C: Audiolibros, Jonathan Swift, Los viajes de Gulliver (Digipack), 234,45 
1C: Audiolibros, Dickens Charles, Heredero de la casa comercial (Jewel), 235,45 
1C: Audiolibros, Dina Rubina, Unas palabras apresuradas sobre el amor (Digipack), 236,45 
"""1C: Audiolibros, Para los más pequeños, Cuentos de hadas, rimas y canciones para niños menores de tres años (Digipack)"", 237,45 "
1C: Audiolibros, Dobrynya Nikitich y la serpiente Gorynych, Alyosha Popovich y Tugarin la Serpiente, 238,45
"""1C: Audiolibros, Doyle A, K, Unión de pelirrojos, Historias sobre Sherlock Holmes [PC, versión digital]"", 239,44 "
1C: Audiolibros, Dostoievski F,M, Broma de mal gusto [Versión digital], 240,44 
"""1C: Audiolibros, Dostoievsky FM Player, Notas del metro [PC, versión digital]"", 241,44 "
1C: Audiolibros, Dostoievski F,M, Pobre gente [Versión digital], 242,44 
1C: Audiolibros, Dostoievski F,M, Crime and Punishment (ejecución de audio mp3), 243,45 
1C: Audiolibros, Dumas A, Tres mosqueteros, Rendimiento de audio (Digipack), 244,45 
"""1C: Audiolibros, E, Sivkov, Proverbios y anécdotas [PC, versión digital]"", 245,44 "
1C: Audiolibros, Erofeev V, Moscú-Petushki, Lee C, Shnurov (Digipack), 246,45 
1C: Audiolibros, Libros vivientes, Fairy Tales - Babes, 247,45
1C: Audiolibros, Julio Verne, Los hijos del capitán Grant, (Joya), 248,45 
1C: Audiolibros, Julio Verne, Capitán de quince años (Jewel), 249,45 
1C: Audiolibros, E,I, Zamyatin Nosotros, Novela distópica [versión digital], 250,44 
1C: Audiolibros, Obras famosas de escritores rusos ([Versión digital], 251,44 
1C: Audiolibros, Colección dorada de clásicos para niños (Joya), 252,45 
"""1C: Audiolibros, I, Ilf, E, Petrov, 12 sillas (Joya)"", 253, 45 "
"""1C: Audiolibros, Ilya Ilyin, Si yo fuera un Robinson, Historias divertidas del editor en jefe de la revista"" Yeralash ""[PC, versión digital]"", 254,44 "
"""1C: Audiolibros, Historias sobre los valientes y ingenioso, Rendimiento de audio de colección para niños [PC, versión digital] "", 255,44"
1C: Audiolibros, Historia del gobierno ruso, De Rurik al zar Juan IV Vasilievich [Ve digital, 256,44 
1C: Audiolibros, Karamzin N,M, Historia del gobierno ruso, De Iván el Terrible al Falso Dmitry (Joya), 257,45 
1C: Audiolibros, Karamzin N,M, Historia del gobierno ruso, De Rurik al Zar Juan IV (Joya), 258,45 
1C: Audiolibros, Kipling R, Tales and legends (Digipack), 259,45 
"""1C: Audiolibros, Kipling R, Tales and legends [PC, versión digital]"", 260,44 "
"""1C: Audiolibros, Kirillov K,, Oberderfer D, Cómo hacer negocios en Rusia y no quemarse [PC, Digital in "", 261,44 "
""" 1C: Audiolibros, Kirillov K,, Oberderfer D, Cómo hacerse rico en Rusia [PC, Versión digital] "", 262,44 "
""" 1C: Audiolibros, Kirillov K,, Oberderfer D,"
1C: Audiolibros, Clásicos del humor ruso, Averchenko Arkady (Jewel), 264,45 
1C: Audiolibros, Clásicos del humor ruso, Historias humorísticas de principios del siglo XX (Joya), 265,45 
1C: Audiolibros, Clásicos del humor ruso, Historias humorísticas de principios del siglo XX [Versión digital], 266,44 
1C: Audiolibros, Colección de cuentos populares rusos (Digipack), 267,45 
"""1C: Audiolibros, Colección de cuentos populares rusos [PC, versión digital]"", 268,44 "
1C: Audiolibros, Colección de cuentos de hadas y poemas de Korney Chukovsky (DVD-Digipack), 269,45 
1C: Audiolibros, Colección de cuentos divertidos para niños (Jewel), 270,45 
"""1C: Audiolibros, Konstantin Simonov, Días y noches [PC, versión digital]"", 271,44 "
1C: Audiolibros, Confucio, Sentencias y conversaciones, 272,45
1C: Audiolibros, El gato es todo lo contrario, Poemas para jardín de infantes (Jewel), 273,45 
1C: Audiolibros, El gato es todo lo contrario, Poemas para jardín de infancia [versión digital], 274,44 
1C: Audiolibros, V,P, Krapivin Palomar en un claro amarillo [Versión digital], 275,44 
1C: Audiolibros, Kuhn N,A, Leyendas y mitos de la antigua Grecia (Joya), 276,45 
"""1C: Audiolibros, Kunin V, Ivanov y Rabinovich, o"" Ai gou tu Haifa! Digipack "", 277,45 "
1C: Audiolibros, Kuprin A,I, Pulsera de granate, 278,45 
1C: Audiolibros, Kuprin A,I, Olesya, Wonderful Doctor [Versión digital], 279,44 
1C: Audiolibros, Kuprin A,I, Good Society, 280,45 
1C: Audiolibros, L,N, Tolstoi, Infancia, Adolescencia, Juventud, (Joya), 281,45 
1C: Audiolibros, Lagin L,I, Old Man Hottabych (Joya), 282,45
1C: Audiolibros, Leyendas y mitos de la antigua Grecia para niños, Argonauts (Digipack), 283,45 
1C: Audiolibros, Leyendas y mitos de la antigua Grecia para niños, Feats of Hercules (Digipack), 284,45 
1C: Audiolibros, Leyendas y mitos de la antigua Grecia para niños, Hazañas de Teseo, Perseo y Medusa Gorgon (Digipack), 285,45 
"""1C: Audiolibros, Leonid Soloviev, Piedra de Sebastopol [PC, versión digital]"", 286,44 "
"""1C: Audiolibros, Lermontov M,Yu, Prophet, Poemas y poemas [PC, versión digital]"" , 287,44 "
"""1C: Audiolibros, Leskov NS Historias e historias [PC, versión digital]"", 288,44 "
"""1C: Audiolibros, Leskov NS"" ""Favoritos"" ""[Versión digital]"", 289,44 "
1C: Audiolibros, Leskov N,S, Favoritos (DVD-Digipack), 290,45
1C: Audiolibros, Curso de inglés Lingaphone para principiantes [Versión digital], 291,44 
1C: Audiolibros, Curso de inglés Lingaphone para principiantes, (Joya), 292,45 
1C: Audiolibros, Curso de español Lingaphone para principiantes, (Joya), 293,45 
1C: Audiolibros, Curso de italiano Lingaphone para principiantes, (Joya), 294,45 
1C: Audiolibros, Curso de alemán en linguaphone para principiantes, (Joya), 295,45 
"""1C: Audiolibros, Curso de lengua turca en linguaphone para principiantes [PC, versión digital]"", 296,44 "
1C: Audiolibros, Curso de idioma turco Lingaphone para principiantes, (Joya), 297,45 
1C: Audiolibros, Curso de francés lingaphone para principiantes, (Joya), 298,45
1C: Audiolibros, Loginov A, Contabilidad de gestión para directores reales, Cómo no repetir los errores de otras personas, 299,44 
1C: Audiolibros, London D, Martin Eden [Versión digital], 300,44 
1C: Audiolibros, London Jack, Lobo marino, Roman [versión digital], 301,44 
1C: Audiolibros, Lopatina I, Krapity, Parte 1,302,45 
1C: Audiolibros, Lo mejor de nuestra infancia, Cuentos de hadas e historias (Joya), 303,45 
1C: Audiolibros, Lo mejor de nuestra infancia, Cuentos y cuentos de hadas [Versión digital], 304,44 
1C: Audiolibros, Las mejores obras extranjeras en inglés [versión digital], 305,44 
1C: Audiolibros, Las mejores obras extranjeras en inglés, Nivel intermedio (Joya), 306,45 
1C: Audiolibros, Los mejores poemas y cuentos de escritores rusos [Versión digital], 307,44
1C: Audiolibros, Las mejores novelas de ciencia ficción, Tres grandes viajes (Digipack), 308,45 
"""1C: Audiolibros, M, Twain, Yankees en la corte del Rey Arturo [PC, versión digital]"", 309,44 "
1C: Audiolibros, ME, Saltykov-Shchedrin, Cuentos de hadas (Joya), 310,45 
1C: Audiolibros, Mandelstam Osip, Marca egipcia (Jewel), 311,45 
1C: Audiolibros, Mark Twain, Juana de Arco (Joya), 312,45 
1C: Audiolibros, Mark Twain, Aventuras de Tom Sawyer, Digipack, 313,45 
1C: Audiolibros, Mark Twain, El príncipe y el mendigo, (Joya), 314,45 
1C: Audiolibros, Mark Twain, Las aventuras de Huckleberry Finn, (Digipack), 315,45 
"""1C: Audiolibros, Medinsky V, Mitos sobre Rusia en Radio"" Finam ""(DVD-Digipack)"", 316,45 "
1C: Audiolibros, Medinsky V, Mitos sobre Rusia,
1C: Audiolibros, Medinsky V, Mitos sobre Rusia, Sobre la amenaza rusa y la prisión de los pueblos (DVD-Digipack), 318,45 
1C: Audiolibros, Medinsky V, Mitos sobre Rusia, Sobre el robo y la paciencia rusos (DVD-Digipack), 319,45 
"""1C: Audiolibros, Medinsky V, Mitos sobre Rusia, Sobre la borrachera, la pereza y la crueldad rusas (DVD-Digipack)"", 320,45 "
1C: Audiolibros, Medinsky V, Mitos sobre Rusia, De dónde vienen los mitos y quién los necesita (DVD-Digipack), 321,45 
1C: Audiolibros, Michael Bulgakov, El maestro y Margarita (Digipack), 322,45 
"""1C: Audiolibros, Mikhail Bulgakov, El maestro y Margarita [PC, versión digital]"", 323,44 "
1C: Audiolibros, Michael Bulgakov, Historias fantásticas, Diabólico, Huevos fatales (Digipack), 324,45 
1C: Audiolibros, Cuentos musicales para niños (joya), 325,45
1C: Audiolibros, N, Kutepov, Tsarskaya Okhota (DVD-Digipack), 326,45 
"""1C: Audiolibros, N, Basovskaya, La reina Victoria es un símbolo en el trono, Conferencias sobre historia [PC, versión digital]"", 327,44 "
1C: Audiolibros, N,S, Leskov, The Enchanted Wanderer (Jewel), 328,45 
1C: Audiolibros, Nietzsche F, Así habló Zarathustra, 329,45 
"""1C: Audiolibros, O'Henry, Stories [PC, versión digital]"", 330,44 "
1C: Audiolibros, O, Henry, Historias (Digipack), 331,45 
"""1C: Audiolibros, O'Henry, El día que celebramos, Historias, En inglés, [PC, versión digital]"", 332,44 "
1C: Audiolibros, Pelevin V, Historias, El autor está leyendo, 333,45 
1C: Audiolibros, Crimen y castigo [versión digital], 334,44 
1C: Audiolibros, Guía, Amsterdam (Joya), 335,45
"""1C: Audiolibros, Guía, Barcelona [PC, versión digital]"", 336,44 "
"""1C: Audiolibros, Guía, Budapest [PC, versión digital]"", 337,44 "
"""1C: Audiolibros, Guía, Venecia [PC, versión digital]"", 338,44 "
"""1C: Audiolibros, Guía, Moscú, Kitai-Gorod [PC, versión digital]"", 339,44 "
"""1C: Audiolibros, Guía, Odessa [PC, versión digital]"", 340,44 "
"""1C: Audiolibros, Guía, París [PC, Versión digital] "", 341,44 "
""" 1C: Audiolibros, Guía, Praga [PC, versión digital] "", 342,44 "
""" 1C: Audiolibros, Guía, Caminatas a San Petersburgo [PC, versión digital] "", 343,44 "
""" 1C: Audiolibros , Guía, Paseos por las afueras de San Petersburgo [PC, versión digital] "", 344,44"
"""1C: Audiolibros, Guía, San Petersburgo, Centro histórico [PC, versión digital]"", 345,44 "
"""1C: Audiolibros, Guía, Sochi [PC, Versión digital]"", 346,44 "
"""1C: Audiolibros, Guía, Florencia [PC, Versión digital] "", 347,44 "
1C: Audiolibros, Viaja a través de los cuentos de hadas, Colección de representaciones para niños [versión digital], 348,44 
"""1C: Audiolibros, Pushkin A, S, Eugene Onegin, Poems [PC, versión digital]"", 349,44 "
"""1C: Audiolibros, Pushkin A, S, Tales, Near Lukomorye [PC, versión digital]"", 350,44 "
1C: Audiolibros, Pushkin A,S, Cuentos y poemas, 351,45 
"""1C: Audiolibros, R, Sheckley, Ciudadano del espacio exterior [PC, versión digital]"", 352,44 "
1C: Audiolibros, R,L, Stevenson, Isla del tesoro, Digipack, 353,45
1C: Audiolibros, El niño está en el auto, ¡Divertido y útil! (Paquete), 354,45 
1C: Audiolibros, Auditor [versión digital], 355,44 
"""1C: Audiolibros, Rudyard Kipling, Historias de la colección"" El libro de la selva ""Mowgli (Digipack)"", 356,45 "
1C: Audiolibros, Remarque E,M, Tres camaradas (Digipack), 357,45 
"""1C: Audiolibros, Rick T, Historias divertidas de miedo, Número 1, Peluquero horrible [PC, versión digital]"", 358,44 "
